Comment,Designator,Footprint,LCSC,Quantity
100n,"C1,C2,C5,C7",C_0603_1608Metric,C14663,4
Conn_01x04_MountingPin,J3,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C160404,1
USB_C_Receptacle_USB2.0,J4,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
10k,R1,R_0805_2012Metric,C17414,1
4.7u,"C4,C6",C_0603_1608Metric,C19666,2
5.1k,"R2,R3",R_0603_1608Metric,C23186,2
1u,"C3,C8,C9",C_0805_2012Metric,C28323,3
XC6206PxxxMR,U2,SOT-23-3,C5446,1
500mA,F1,Fuse_1206_3216Metric,C70076,1
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D7,D8,D9",D_SOD-123,C81598,66
STM32F072CBTx,U1,LQFP-48_7x7mm_P0.5mm,C81720,1
SRV05-4,U3,SOT-23-6-routable,C85364,1
