Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0603_1608Metric,171.35125,-78.23,90.0,bottom
C2,100n,C_0603_1608Metric,161.57125,-81.63,180.0,bottom
C3,1u,C_0805_2012Metric,79.71,-72.67,180.0,bottom
C4,4.7u,C_0603_1608Metric,173.05125,-78.23,90.0,bottom
C5,100n,C_0603_1608Metric,167.75125,-68.33,0.0,bottom
C6,4.7u,C_0603_1608Metric,167.75125,-66.63,0.0,bottom
C7,100n,C_0603_1608Metric,156.95125,-74.73,270.0,bottom
C8,1u,C_0805_2012Metric,181.63,-67.0525,90.0,bottom
C9,1u,C_0805_2012Metric,172.93,-67.0525,270.0,bottom
D1,D_Small,D_SOD-123,-0.52,-9.3775,90.0,bottom
D10,D_Small,D_SOD-123,35.71875,-19.84375,90.0,bottom
D11,D_Small,D_SOD-123,40.48125,-38.89375,90.0,bottom
D12,D_Small,D_SOD-123,50.00625,-57.94375,90.0,bottom
D13,D_Small,D_SOD-123,61.9125,-76.99375,90.0,bottom
D14,D_Small,D_SOD-123,64.29375,-0.79375,90.0,bottom
D15,D_Small,D_SOD-123,54.76875,-19.84375,90.0,bottom
D16,D_Small,D_SOD-123,59.53125,-38.89375,90.0,bottom
D17,D_Small,D_SOD-123,69.05625,-57.94375,90.0,bottom
D18,D_Small,D_SOD-123,83.34375,-0.79375,90.0,bottom
D19,D_Small,D_SOD-123,73.81875,-19.84375,90.0,bottom
D2,D_Small,D_SOD-123,10.46,-28.86,90.0,bottom
D20,D_Small,D_SOD-123,78.58125,-38.89375,90.0,bottom
D21,D_Small,D_SOD-123,88.10625,-57.94375,90.0,bottom
D22,D_Small,D_SOD-123,102.39375,-0.79375,90.0,bottom
D23,D_Small,D_SOD-123,92.86875,-19.84375,90.0,bottom
D24,D_Small,D_SOD-123,97.63125,-38.89375,90.0,bottom
D25,D_Small,D_SOD-123,107.15625,-57.94375,90.0,bottom
D26,D_Small,D_SOD-123,100.0125,-76.99375,90.0,bottom
D27,D_Small,D_SOD-123,121.44375,-0.79375,90.0,bottom
D28,D_Small,D_SOD-123,111.91875,-19.84375,90.0,bottom
D29,D_Small,D_SOD-123,102.09,-38.89375,90.0,bottom
D3,D_Small,D_SOD-123,14.2875,-38.89375,90.0,bottom
D30,D_Small,D_SOD-123,126.20625,-57.94375,90.0,bottom
D31,D_Small,D_SOD-123,140.49375,-0.79375,90.0,bottom
D32,D_Small,D_SOD-123,130.96875,-19.84375,90.0,bottom
D33,D_Small,D_SOD-123,135.73125,-38.89375,90.0,bottom
D34,D_Small,D_SOD-123,145.25625,-57.94375,90.0,bottom
